線番号,1,電圧(V)/Ch167/Cy000002/C,2,電圧(V)/Ch168/Cy000002/C,3,電圧(V)/Ch169/Cy000002/C,4,電圧(V)/Ch170/Cy000002/C,5,電圧(V)/Ch171/Cy000002/C,6,電圧(V)/Ch172/Cy000002/C,7,電圧(V)/Ch185/Cy000002/C,8,電圧(V)/Ch186/Cy000002/C,9,電圧(V)/Ch187/Cy000002/C,10,電圧(V)/Ch188/Cy000002/C,11,電圧(V)/Ch189/Cy000002/C,12,電圧(V)/Ch190/Cy000002/C,13,電圧(V)/Ch191/Cy000002/C,14,電圧(V)/Ch192/Cy000002/C,15,電圧(V)/Ch193/Cy000002/C,16,電圧(V)/Ch195/Cy000002/C,17,電圧(V)/Ch196/Cy000002/C,,,,,,電圧(V)/Ch167/Cy000002/C,,電圧(V)/Ch168/Cy000002/C,,電圧(V)/Ch169/Cy000002/C,,電圧(V)/Ch170/Cy000002/C,,電圧(V)/Ch171/Cy000002/C,,電圧(V)/Ch172/Cy000002/C,,電圧(V)/Ch185/Cy000002/C,,電圧(V)/Ch186/Cy000002/C,,電圧(V)/Ch187/Cy000002/C,,電圧(V)/Ch188/Cy000002/C,,電圧(V)/Ch189/Cy000002/C,,電圧(V)/Ch190/Cy000002/C,,電圧(V)/Ch191/Cy000002/C,,電圧(V)/Ch192/Cy000002/C,,電圧(V)/Ch193/Cy000002/C,,電圧(V)/Ch195/Cy000002/C,,電圧(V)/Ch196/Cy000002/C,
10,0.01511,0.0734,0.01508,0.0648,0.01739,0.0834,0.01497,0.0452,0.01525,0.045,0.01611,0.0506,0.01476,0.0724,0.01473,0.0624,0.01715,0.0752,0.01448,0.0662,0.01698,0.0824,0.01337,0.0692,0.0151,0.057,0.01504,0.0672,0.01493,0.0598,0.01493,0.056,0.01489,0.0688,,,,,,0.003322522,0.0734,0.003612045,0.0648,0.003454022,0.0834,0.003801239,0.0452,0.003569481,0.045,0.003150453,0.0506,0.002880585,0.0724,0.002585335,0.0624,0.003567105,0.0752,0.002551317,0.0662,0.003001501,0.0824,0.002566268,0.0692,0.002692933,0.057,0.002682495,0.0672,0.003183729,0.0598,0.002826249,0.056,0.00331566,0.0688
11,0.01726,0.075,0.01723,0.0666,0.01954,0.0832,0.01712,0.0466,0.01741,0.0464,0.01701,0.051,0.01504,0.0726,0.01688,0.0638,0.01951,0.0772,0.01511,0.0668,0.01913,0.0826,0.01559,0.0714,0.01719,0.0586,0.01712,0.0682,0.01708,0.0618,0.01701,0.0576,0.01698,0.0706,,,,,,0.003795283,0.075,0.004127025,0.0666,0.003881058,0.0832,0.004347175,0.0466,0.00407506,0.0464,0.003326456,0.051,0.00293523,0.0726,0.002962693,0.0638,0.004057972,0.0772,0.002662321,0.0668,0.003381549,0.0826,0.00299238,0.0714,0.003065663,0.0586,0.003053479,0.0682,0.003642203,0.0618,0.003219993,0.0576,0.003781055,0.0706
12,0.01782,0.0754,0.01931,0.068,0.02163,0.083,0.0192,0.0482,0.01963,0.0478,0.0191,0.0522,0.01685,0.074,0.01897,0.0652,0.0216,0.0788,0.01726,0.0684,0.02128,0.0828,0.01781,0.0734,0.01927,0.0598,0.01935,0.0692,0.01764,0.0624,0.01909,0.059,0.01906,0.072,,,,,,0.003918421,0.0754,0.004625238,0.068,0.004296176,0.083,0.004875336,0.0482,0.004594683,0.0478,0.003735174,0.0522,0.003288472,0.074,0.003329519,0.0652,0.004492681,0.0788,0.003041142,0.0684,0.003761598,0.0828,0.003418492,0.0734,0.00343661,0.0598,0.003451216,0.0692,0.003761619,0.0624,0.003613737,0.059,0.004244223,0.072
13,0.01935,0.0766,0.02147,0.0696,0.02378,0.0828,0.02135,0.0496,0.02172,0.0492,0.02125,0.0534,0.01893,0.0756,0.02105,0.0666,0.02368,0.0804,0.01942,0.07,0.02344,0.0828,0.02003,0.0754,0.02135,0.061,0.02143,0.0702,0.01916,0.0638,0.02097,0.0602,0.02114,0.0734,,,,,,0.004254851,0.0766,0.005142614,0.0696,0.004723211,0.0828,0.005421272,0.0496,0.005083877,0.0492,0.004155626,0.0534,0.003694408,0.0756,0.00369459,0.0666,0.004925309,0.0804,0.003421725,0.07,0.004143414,0.0828,0.003844604,0.0754,0.003807557,0.061,0.003822199,0.0702,0.00408575,0.0638,0.003969621,0.0602,0.004707391,0.0734
14,0.02143,0.078,0.02355,0.071,0.02586,0.0824,0.02351,0.051,0.0238,0.0504,0.02361,0.0546,0.02129,0.0772,0.02195,0.0672,0.02528,0.0814,0.02164,0.0716,0.02552,0.0828,0.02226,0.0772,0.02344,0.0622,0.02359,0.0712,0.02131,0.0658,0.02124,0.0604,0.0233,0.0748,,,,,,0.00471222,0.078,0.005640827,0.071,0.005136344,0.0824,0.005969748,0.051,0.005570731,0.0504,0.004617145,0.0546,0.00415499,0.0772,0.003852553,0.0672,0.0052581,0.0814,0.00381288,0.0716,0.004511089,0.0828,0.004272635,0.0772,0.004180287,0.0622,0.004207451,0.0712,0.004544224,0.0658,0.004020732,0.0604,0.005188374,0.0748
15,0.02351,0.0794,0.0257,0.0726,0.02802,0.0822,0.02566,0.0524,0.02589,0.0516,0.02576,0.0558,0.02338,0.0786,0.02313,0.068,0.02583,0.0818,0.02379,0.073,0.02767,0.0828,0.02253,0.0774,0.02406,0.0626,0.02567,0.072,0.02347,0.0672,0.02339,0.0618,0.02538,0.076,,,,,,0.005169589,0.0794,0.006155807,0.0726,0.005565365,0.0822,0.006515684,0.0524,0.006059925,0.0516,0.005037596,0.0558,0.004562877,0.0786,0.004059661,0.068,0.005372497,0.0818,0.004191701,0.073,0.004891138,0.0828,0.004324459,0.0774,0.004290858,0.0626,0.004578434,0.072,0.00500483,0.0672,0.004427727,0.0618,0.005651542,0.076
16,0.0256,0.0808,0.02786,0.074,0.03017,0.0818,0.02719,0.0534,0.02804,0.053,0.02799,0.0568,0.02574,0.08,0.02529,0.0694,0.02799,0.0832,0.02595,0.0744,0.0299,0.0826,0.02441,0.0788,0.02552,0.0636,0.02803,0.0728,0.02562,0.0688,0.02555,0.063,0.02753,0.0772,,,,,,0.005629157,0.0808,0.006673182,0.074,0.005992401,0.0818,0.006904187,0.0534,0.006563163,0.053,0.005473692,0.0568,0.005023458,0.08,0.004438773,0.0694,0.005821765,0.0832,0.004572284,0.0744,0.005285328,0.0826,0.004685311,0.0788,0.004551234,0.0636,0.004999358,0.0728,0.005463304,0.0688,0.004836615,0.063,0.006130297,0.0772
17,0.02768,0.082,0.02994,0.0752,0.03232,0.0816,0.02781,0.0538,0.02895,0.0534,0.03007,0.058,0.02782,0.0814,0.02744,0.0708,0.03014,0.0844,0.02803,0.0756,0.03212,0.0826,0.02663,0.0806,0.0276,0.0646,0.03012,0.0736,0.02777,0.0702,0.02777,0.0644,0.02968,0.0784,,,,,,0.006086526,0.082,0.007171395,0.0752,0.006419436,0.0816,0.00706162,0.0538,0.006776162,0.0534,0.005880455,0.058,0.005429394,0.0814,0.004816131,0.0708,0.006268953,0.0844,0.004938772,0.0756,0.005677751,0.0826,0.005111422,0.0806,0.004922181,0.0646,0.005372125,0.0736,0.005921778,0.0702,0.005256861,0.0644,0.006609053,0.0784
18,0.02983,0.0832,0.0321,0.0764,0.03447,0.0814,0.02997,0.0552,0.0302,0.0542,0.03222,0.059,0.02991,0.0824,0.02959,0.0722,0.03236,0.0856,0.02928,0.0762,0.03434,0.0824,0.02878,0.082,0.02969,0.0658,0.03227,0.0744,0.02992,0.0714,0.02992,0.0656,0.03024,0.0788,,,,,,0.006559288,0.0832,0.00768877,0.0764,0.006846472,0.0814,0.007610095,0.0552,0.007068742,0.0542,0.006300906,0.059,0.005837282,0.0824,0.005193488,0.0722,0.006730701,0.0856,0.005159017,0.0762,0.006070173,0.0824,0.005524098,0.082,0.005294912,0.0658,0.005755593,0.0744,0.006380252,0.0714,0.005663856,0.0656,0.006733752,0.0788
19,0.03199,0.0844,0.03418,0.0776,0.03663,0.0812,0.03205,0.0566,0.03228,0.0556,0.03431,0.0602,0.03018,0.0826,0.03175,0.0734,0.03451,0.0868,0.03026,0.0768,0.03656,0.0824,0.03094,0.0834,0.03177,0.0668,0.03435,0.075,0.03138,0.0724,0.03214,0.0668,0.03184,0.0794,,,,,,0.007034248,0.0844,0.008186983,0.0776,0.007275494,0.0812,0.008138256,0.0566,0.007555596,0.0556,0.006709624,0.0602,0.005889976,0.0826,0.0055726,0.0734,0.007177889,0.0868,0.005331689,0.0768,0.006462595,0.0824,0.005938694,0.0834,0.005665859,0.0668,0.006126577,0.075,0.006691588,0.0724,0.006084102,0.0668,0.007090035,0.0794
20,0.03414,0.0854,0.03481,0.078,0.03878,0.0812,0.03427,0.058,0.03465,0.057,0.03521,0.0606,0.03199,0.0836,0.03383,0.0746,0.03681,0.0878,0.03241,0.0778,0.03865,0.0824,0.03309,0.0848,0.03392,0.0678,0.03651,0.0754,0.03201,0.0728,0.03429,0.068,0.03399,0.0806,,,,,,0.007507009,0.0854,0.008337884,0.078,0.007702529,0.0812,0.008701967,0.058,0.008110329,0.057,0.006885627,0.0606,0.006243218,0.0836,0.005937671,0.0746,0.007656277,0.0878,0.00571051,0.0778,0.006832038,0.0824,0.00635137,0.0848,0.00604929,0.0678,0.006511829,0.0754,0.006825931,0.0728,0.006491097,0.068,0.00756879,0.0806
21,0.03637,0.0864,0.03626,0.0788,0.04086,0.0812,0.03635,0.0594,0.03673,0.0582,0.03639,0.0612,0.03408,0.0846,0.03598,0.0758,0.03903,0.0888,0.03449,0.079,0.0408,0.0826,0.03524,0.086,0.03601,0.069,0.03741,0.0758,0.03409,0.0742,0.03652,0.0692,0.03607,0.0814,,,,,,0.007997361,0.0864,0.008685196,0.0788,0.008115661,0.0812,0.009230129,0.0594,0.008597182,0.0582,0.007116387,0.0612,0.006651106,0.0846,0.006315028,0.0758,0.008118024,0.0888,0.006076998,0.079,0.007212087,0.0826,0.006764045,0.086,0.00642202,0.069,0.00667235,0.0758,0.007269478,0.0742,0.006913236,0.0692,0.008031959,0.0814
22,0.03852,0.0872,0.03842,0.0802,0.04301,0.0814,0.03851,0.0606,0.03882,0.0592,0.03854,0.0622,0.03616,0.0856,0.03821,0.077,0.04125,0.0896,0.03665,0.0802,0.04295,0.0826,0.0374,0.087,0.03809,0.07,0.03859,0.076,0.03624,0.0752,0.03867,0.0702,0.03829,0.0824,,,,,,0.008470123,0.0872,0.009202572,0.0802,0.008542697,0.0814,0.009778604,0.0606,0.009086377,0.0592,0.007536838,0.0622,0.007057042,0.0856,0.006706427,0.077,0.008579772,0.0896,0.006457581,0.0802,0.007592135,0.0826,0.007178641,0.087,0.006792967,0.07,0.006882812,0.076,0.007727952,0.0752,0.007320231,0.0702,0.008526301,0.0824
23,0.04074,0.088,0.04057,0.0812,0.0451,0.0814,0.04059,0.062,0.0409,0.0606,0.0407,0.0632,0.03831,0.0864,0.03855,0.0772,0.04347,0.0904,0.03887,0.0812,0.04503,0.0828,0.03795,0.0874,0.04017,0.071,0.04081,0.0766,0.03833,0.0764,0.04089,0.0712,0.04045,0.0832,,,,,,0.008958276,0.088,0.009717551,0.0812,0.008957815,0.0814,0.010306765,0.062,0.009573231,0.0606,0.007959246,0.0632,0.007476639,0.0864,0.006766102,0.0772,0.00904152,0.0904,0.006848736,0.0812,0.00795981,0.0828,0.007284209,0.0874,0.007163914,0.071,0.007278765,0.0766,0.008173632,0.0764,0.007740477,0.0712,0.009007284,0.0832
24,0.04296,0.0888,0.04266,0.0822,0.04732,0.0816,0.04267,0.0632,0.04299,0.0616,0.04278,0.0636,0.0404,0.0872,0.04043,0.0782,0.0457,0.091,0.04095,0.082,0.04719,0.0832,0.03948,0.0882,0.04226,0.072,0.04297,0.077,0.04041,0.0776,0.04304,0.0724,0.0426,0.084,,,,,,0.00944643,0.0888,0.01021816,0.0822,0.009398754,0.0816,0.010834927,0.0632,0.010062425,0.0616,0.008366008,0.0636,0.007884527,0.0872,0.00709607,0.0782,0.009505348,0.091,0.007215223,0.082,0.008341627,0.0832,0.007577881,0.0882,0.007536644,0.072,0.007664017,0.077,0.008617178,0.0776,0.008147472,0.0724,0.009486039,0.084
25,0.04512,0.0894,0.04474,0.0832,0.0494,0.0818,0.04302,0.0634,0.04507,0.0628,0.04493,0.063,0.04248,0.088,0.04265,0.0794,0.04667,0.0914,0.04311,0.0828,0.04941,0.0834,0.04163,0.089,0.04379,0.0726,0.04505,0.0774,0.04249,0.0786,0.04526,0.0732,0.04475,0.0848,,,,,,0.00992139,0.0894,0.010716373,0.0832,0.009811886,0.0818,0.0109238,0.0634,0.010549279,0.0628,0.00878646,0.063,0.008290463,0.088,0.007485713,0.0794,0.009707102,0.0914,0.007595807,0.0828,0.008734049,0.0834,0.007990556,0.089,0.007809504,0.0726,0.008035001,0.0774,0.009060725,0.0786,0.008567718,0.0732,0.009964795,0.0848
26,0.04727,0.09,0.04682,0.0842,0.05155,0.0818,0.0449,0.0644,0.04625,0.0634,0.04708,0.063,0.04463,0.0888,0.04488,0.0806,0.04792,0.0918,0.04526,0.0836,0.05156,0.0836,0.04385,0.09,0.04441,0.0728,0.04721,0.0778,0.04457,0.0796,0.04741,0.0742,0.0469,0.0854,,,,,,0.010394151,0.09,0.011214586,0.0842,0.010238921,0.0818,0.011401177,0.0644,0.010825475,0.0634,0.009206911,0.063,0.00871006,0.0888,0.007877111,0.0806,0.009967095,0.0918,0.007974628,0.0836,0.009114098,0.0836,0.008416668,0.09,0.007920075,0.0728,0.008420253,0.0778,0.009504272,0.0796,0.008974713,0.0742,0.01044355,0.0854
27,0.04949,0.0906,0.04898,0.0852,0.05363,0.0822,0.04698,0.0656,0.04743,0.064,0.04917,0.0634,0.04672,0.0894,0.04696,0.0816,0.05014,0.0922,0.04741,0.0844,0.05378,0.084,0.04594,0.0908,0.04649,0.0736,0.04936,0.0782,0.04673,0.0808,0.04964,0.075,0.04913,0.0862,,,,,,0.010882304,0.0906,0.011731961,0.0852,0.010652053,0.0822,0.011929338,0.0656,0.011101671,0.064,0.009615629,0.0634,0.009117948,0.0894,0.008242183,0.0816,0.010428843,0.0922,0.008353449,0.0844,0.00950652,0.084,0.008817828,0.0908,0.008291022,0.0736,0.008803721,0.0782,0.009964879,0.0808,0.009396852,0.075,0.01094012,0.0862
28,0.05165,0.0912,0.05113,0.086,0.05579,0.0822,0.04913,0.0668,0.04973,0.0652,0.05132,0.064,0.04887,0.09,0.04911,0.0824,0.05229,0.0928,0.0495,0.0852,0.05594,0.0844,0.04809,0.0916,0.04886,0.0746,0.05144,0.0786,0.04881,0.0818,0.05186,0.076,0.05135,0.087,,,,,,0.011357265,0.0912,0.012246941,0.086,0.011081075,0.0822,0.012475274,0.0668,0.011640018,0.0652,0.010036081,0.064,0.009537545,0.09,0.00861954,0.0824,0.010876031,0.0928,0.008721699,0.0852,0.009888336,0.0844,0.009230503,0.0916,0.008713688,0.0746,0.009174705,0.0786,0.010408426,0.0818,0.009817098,0.076,0.011434463,0.087
29,0.05387,0.0916,0.05335,0.087,0.05794,0.0826,0.05122,0.068,0.05188,0.0664,0.05341,0.065,0.05096,0.0906,0.05127,0.0834,0.05445,0.0934,0.05165,0.0858,0.05802,0.0848,0.05024,0.0922,0.05122,0.0754,0.05353,0.0788,0.05034,0.0824,0.05401,0.0768,0.0535,0.0876,,,,,,0.011845418,0.0916,0.012778688,0.087,0.011508111,0.0826,0.013005975,0.068,0.012143257,0.0664,0.010444799,0.065,0.009945433,0.0906,0.008998652,0.0834,0.011325299,0.0934,0.00910052,0.0858,0.010256011,0.0848,0.009643179,0.0922,0.00913457,0.0754,0.009547472,0.0788,0.010734689,0.0824,0.010224093,0.0768,0.011913218,0.0876
30,0.05602,0.092,0.05551,0.0878,0.0603,0.0828,0.05358,0.0692,0.05397,0.0674,0.05549,0.066,0.05304,0.0912,0.05335,0.0844,0.05667,0.0938,0.05283,0.0862,0.06017,0.085,0.05253,0.093,0.0533,0.0764,0.05561,0.0792,0.05089,0.0824,0.05616,0.0776,0.05572,0.0882,,,,,,0.012318179,0.092,0.013296063,0.0878,0.011976857,0.0828,0.013605235,0.0692,0.012632451,0.0674,0.010851561,0.066,0.010351369,0.0912,0.009363723,0.0844,0.011787047,0.0938,0.009308431,0.0862,0.01063606,0.085,0.010082727,0.093,0.009505517,0.0764,0.009918455,0.0792,0.010851973,0.0824,0.010631088,0.0776,0.012407561,0.0882
31,0.05825,0.0924,0.05586,0.088,0.06238,0.0832,0.05566,0.0704,0.05612,0.0686,0.05764,0.0672,0.05512,0.0918,0.0555,0.0852,0.05889,0.0942,0.05374,0.0864,0.06233,0.0854,0.05462,0.0936,0.05552,0.0772,0.05777,0.0796,0.05298,0.0834,0.05838,0.0784,0.05795,0.0888,,,,,,0.012808532,0.0924,0.013379897,0.088,0.012389989,0.0832,0.014133396,0.0704,0.013135689,0.0686,0.011272013,0.0672,0.010757305,0.0918,0.00974108,0.0852,0.012248795,0.0942,0.009468769,0.0864,0.011017876,0.0854,0.010483886,0.0936,0.009901432,0.0772,0.010303707,0.0796,0.011297652,0.0834,0.011051334,0.0784,0.012904131,0.0888
32,0.06047,0.0928,0.0578,0.0886,0.06453,0.0834,0.05774,0.0714,0.05821,0.0694,0.06,0.0688,0.05728,0.0922,0.05773,0.0862,0.06104,0.0946,0.05589,0.087,0.06448,0.0858,0.0567,0.0942,0.05761,0.0778,0.05992,0.0798,0.05506,0.0842,0.06053,0.0792,0.06017,0.0892,,,,,,0.013296685,0.0928,0.013844577,0.0886,0.012817024,0.0834,0.014661558,0.0714,0.013624884,0.0694,0.011733531,0.0688,0.011178854,0.0922,0.010132479,0.0862,0.012695983,0.0946,0.009847591,0.087,0.011397925,0.0858,0.010883126,0.0942,0.010274162,0.0778,0.010687175,0.0798,0.011741199,0.0842,0.011458329,0.0792,0.013398474,0.0892
33,0.06262,0.0932,0.05995,0.0894,0.06662,0.0838,0.05983,0.0726,0.06029,0.0706,0.06216,0.0702,0.05915,0.0926,0.05988,0.0868,0.06326,0.095,0.05797,0.0874,0.06656,0.0864,0.05878,0.0946,0.05976,0.0786,0.062,0.0804,0.05714,0.085,0.06276,0.08,0.06232,0.0898,,,,,,0.013769446,0.0932,0.014359557,0.0894,0.013232142,0.0838,0.015192258,0.0726,0.014111738,0.0706,0.012155939,0.0702,0.011543806,0.0926,0.010509836,0.0868,0.013157731,0.095,0.010214078,0.0874,0.0117656,0.0864,0.011282366,0.0946,0.010657593,0.0786,0.011058159,0.0804,0.012184746,0.085,0.011880468,0.08,0.013877229,0.0898
34,0.06478,0.0934,0.06211,0.0902,0.0687,0.0842,0.06163,0.0734,0.06245,0.0716,0.06271,0.0706,0.05943,0.0926,0.06051,0.0872,0.06542,0.0954,0.06013,0.088,0.06865,0.0868,0.06087,0.0952,0.06184,0.0792,0.06423,0.0806,0.05922,0.0856,0.06338,0.0802,0.06461,0.0902,,,,,,0.014244407,0.0934,0.014876932,0.0902,0.013645275,0.0842,0.015649321,0.0734,0.014617317,0.0716,0.012263496,0.0706,0.011598451,0.0926,0.01062041,0.0872,0.013606999,0.0954,0.010594661,0.088,0.012135043,0.0868,0.011683526,0.0952,0.01102854,0.0792,0.011455896,0.0806,0.012628293,0.0856,0.011997834,0.0802,0.01438716,0.0902
